Time,II,PLETH
09:47:44.97,0.215,-0.372
09:47:44.972,0.179,-0.372
09:47:44.974,0.179,-0.372
09:47:44.976,0.179,-0.383
09:47:44.978,0.179,-0.383
09:47:44.98,0.179,-0.383
09:47:44.982,0.215,-0.383
09:47:44.984,0.215,-0.389
09:47:44.986,0.215,-0.389
09:47:44.988,0.215,-0.389
09:47:44.99,0.215,-0.389
09:47:44.992,0.215,-0.399
09:47:44.994,0.215,-0.399
09:47:44.996,0.215,-0.399
09:47:44.998,0.179,-0.399
09:47:45,0.144,-0.405
09:47:45.002,0.108,-0.405
09:47:45.004,0.108,-0.405
09:47:45.006,0.073,-0.405
09:47:45.008,0.073,-0.410
09:47:45.01,0.037,-0.410
09:47:45.012,0.037,-0.410
09:47:45.014,0.037,-0.410
09:47:45.016,0.003,-0.405
09:47:45.018,0.003,-0.405
09:47:45.02,0.003,-0.405
09:47:45.022,0.003,-0.405
09:47:45.024,0.003,-0.405
09:47:45.026,0.037,-0.405
09:47:45.028,0.037,-0.405
09:47:45.03,0.037,-0.405
09:47:45.032,0.037,-0.399
09:47:45.034,0.003,-0.399
09:47:45.036,0.003,-0.399
09:47:45.038,0.003,-0.399
09:47:45.04,0.003,-0.378
09:47:45.042,0.003,-0.378
09:47:45.044,0.003,-0.378
09:47:45.046,0.003,-0.378
09:47:45.048,0.003,-0.350
09:47:45.05,0.003,-0.350
09:47:45.052,0.003,-0.350
09:47:45.054,-0.032,-0.350
09:47:45.056,-0.032,-0.318
09:47:45.058,-0.032,-0.318
09:47:45.06,0.003,-0.318
09:47:45.062,0.003,-0.318
09:47:45.064,0.003,-0.291
09:47:45.066,0.003,-0.291
09:47:45.068,0.003,-0.291
09:47:45.07,0.003,-0.291
09:47:45.072,0.003,-0.259
09:47:45.074,0.003,-0.259
09:47:45.076,0.003,-0.259
09:47:45.078,0.003,-0.259
09:47:45.08,0.003,-0.216
09:47:45.082,0.003,-0.216
09:47:45.084,0.003,-0.216
09:47:45.086,0.003,-0.216
09:47:45.088,0.003,-0.178
09:47:45.09,0.003,-0.178
09:47:45.092,0.037,-0.178
09:47:45.094,0.108,-0.178
09:47:45.096,0.179,-0.145
09:47:45.098,0.215,-0.145
09:47:45.1,0.286,-0.145
09:47:45.102,0.321,-0.145
09:47:45.104,0.357,-0.124
09:47:45.106,0.393,-0.124
09:47:45.108,0.464,-0.124
09:47:45.11,0.499,-0.124
09:47:45.112,0.569,-0.092
09:47:45.114,0.640,-0.092
09:47:45.116,0.675,-0.092
09:47:45.118,0.711,-0.092
09:47:45.12,0.782,-0.086
09:47:45.122,0.817,-0.086
09:47:45.124,0.889,-0.086
09:47:45.126,0.995,-0.086
09:47:45.128,1.100,-0.075
09:47:45.13,1.171,-0.075
09:47:45.132,1.278,-0.075
09:47:45.134,1.420,-0.075
09:47:45.136,1.525,-0.075
09:47:45.138,1.596,-0.075
09:47:45.14,1.632,-0.075
09:47:45.142,1.703,-0.075
09:47:45.144,1.738,-0.092
