Time,II,PLETH
00:01:58.112,0.360,0.516
00:01:58.12,0.369,0.506
00:01:58.128,0.300,0.497
00:01:58.136,0.225,0.489
00:01:58.144,0.211,0.482
00:01:58.152,0.255,0.476
00:01:58.16,0.185,0.469
00:01:58.168,0.160,0.462
00:01:58.176,0.180,0.456
00:01:58.184,0.220,0.450
00:01:58.192,0.250,0.444
00:01:58.2,0.300,0.438
00:01:58.208,0.385,0.431
00:01:58.216,0.755,0.424
00:01:58.224,1.131,0.416
00:01:58.232,1.065,0.411
00:01:58.24,0.800,0.404
00:01:58.248,0.685,0.397
00:01:58.256,0.635,0.389
00:01:58.264,0.610,0.381
00:01:58.272,0.539,0.374
00:01:58.28,0.475,0.368
00:01:58.288,0.425,0.362
00:01:58.296,0.385,0.356
00:01:58.304,0.315,0.352
00:01:58.312,0.260,0.347
00:01:58.32,0.250,0.342
00:01:58.328,0.275,0.337
00:01:58.336,0.305,0.333
00:01:58.344,0.315,0.329
00:01:58.352,0.340,0.327
00:01:58.36,0.385,0.326
00:01:58.368,0.440,0.323
00:01:58.376,0.505,0.321
00:01:58.384,0.590,0.318
00:01:58.392,0.690,0.316
00:01:58.4,0.709,0.314
00:01:58.408,0.615,0.311
00:01:58.416,0.575,0.308
00:01:58.424,0.546,0.305
00:01:58.432,0.495,0.302
00:01:58.44,0.454,0.299
00:01:58.448,0.430,0.296
00:01:58.456,0.405,0.293
00:01:58.464,0.376,0.290
00:01:58.472,0.355,0.287
00:01:58.48,0.355,0.285
00:01:58.488,0.350,0.283
00:01:58.496,0.345,0.281
00:01:58.504,0.350,0.281
00:01:58.512,0.365,0.280
00:01:58.52,0.376,0.280
00:01:58.528,0.381,0.279
00:01:58.536,0.395,0.279
00:01:58.544,0.415,0.277
00:01:58.552,0.425,0.275
00:01:58.56,0.425,0.272
00:01:58.568,0.430,0.270
00:01:58.576,0.430,0.267
00:01:58.584,0.435,0.266
00:01:58.592,0.435,0.265
00:01:58.6,0.445,0.267
00:01:58.608,0.450,0.271
00:01:58.616,0.461,0.278
00:01:58.624,0.461,0.290
00:01:58.632,0.466,0.310
00:01:58.64,0.470,0.336
00:01:58.648,0.470,0.370
00:01:58.656,0.475,0.411
00:01:58.664,0.480,0.456
00:01:58.672,0.490,0.502
00:01:58.68,0.505,0.549
00:01:58.688,0.515,0.594
00:01:58.696,0.534,0.630
00:01:58.704,0.550,0.658
00:01:58.712,0.565,0.684
00:01:58.72,0.580,0.706
00:01:58.728,0.555,0.723
00:01:58.736,0.520,0.735
00:01:58.744,0.490,0.741
00:01:58.752,0.461,0.742
00:01:58.76,0.430,0.739
00:01:58.768,0.410,0.731
00:01:58.776,0.385,0.721
00:01:58.784,0.376,0.710
00:01:58.792,0.376,0.699
00:01:58.8,0.365,0.686
00:01:58.808,0.376,0.674
00:01:58.816,0.369,0.659
00:01:58.824,0.365,0.645
00:01:58.832,0.350,0.630
00:01:58.84,0.345,0.616
00:01:58.848,0.335,0.602
00:01:58.856,0.305,0.587
00:01:58.864,0.335,0.575
00:01:58.872,0.385,0.562
00:01:58.88,0.395,0.550
00:01:58.888,0.395,0.540
00:01:58.896,0.376,0.532
00:01:58.904,0.369,0.524
00:01:58.912,0.330,0.517
00:01:58.92,0.376,0.509
00:01:58.928,0.425,0.500
00:01:58.936,0.435,0.492
00:01:58.944,0.435,0.484
00:01:58.952,0.445,0.475
00:01:58.96,0.445,0.466
00:01:58.968,0.445,0.458
00:01:58.976,0.450,0.452
00:01:58.984,0.461,0.444
00:01:58.992,0.450,0.437
00:01:59,0.445,0.430
00:01:59.008,0.440,0.422
00:01:59.016,0.445,0.414
00:01:59.024,0.440,0.406
00:01:59.032,0.420,0.398
00:01:59.04,0.405,0.389
00:01:59.048,0.415,0.382
00:01:59.056,0.425,0.375
00:01:59.064,0.415,0.369
00:01:59.072,0.415,0.363
00:01:59.08,0.415,0.357
00:01:59.088,0.420,0.352
00:01:59.096,0.415,0.347
00:01:59.104,0.415,0.344
00:01:59.112,0.425,0.339
00:01:59.12,0.440,0.335
00:01:59.128,0.435,0.331
00:01:59.136,0.445,0.327
00:01:59.144,0.470,0.324
00:01:59.152,0.461,0.320
00:01:59.16,0.445,0.317
00:01:59.168,0.461,0.315
00:01:59.176,0.466,0.314
00:01:59.184,0.485,0.312
00:01:59.192,0.510,0.310
00:01:59.2,0.480,0.309
00:01:59.208,0.335,0.306
00:01:59.216,0.245,0.303
00:01:59.224,0.240,0.299
00:01:59.232,0.305,0.294
00:01:59.24,0.385,0.291
00:01:59.248,0.480,0.288
00:01:59.256,0.534,0.285
00:01:59.264,0.590,0.284
00:01:59.272,0.635,0.283
00:01:59.28,0.650,0.283
00:01:59.288,0.640,0.283
00:01:59.296,0.624,0.283
00:01:59.304,0.605,0.283
00:01:59.312,0.600,0.281
00:01:59.32,0.585,0.279
00:01:59.328,0.555,0.276
00:01:59.336,0.539,0.274
00:01:59.344,0.530,0.271
00:01:59.352,0.510,0.269
00:01:59.36,0.495,0.267
00:01:59.368,0.470,0.266
00:01:59.376,0.454,0.267
00:01:59.384,0.454,0.272
00:01:59.392,0.461,0.280
00:01:59.4,0.470,0.292
00:01:59.408,0.475,0.312
00:01:59.416,0.490,0.340
00:01:59.424,0.500,0.376
00:01:59.432,0.515,0.419
00:01:59.44,0.525,0.467
00:01:59.448,0.539,0.516
00:01:59.456,0.550,0.566
00:01:59.464,0.570,0.611
00:01:59.472,0.595,0.650
00:01:59.48,0.624,0.682
00:01:59.488,0.650,0.704
00:01:59.496,0.665,0.718
00:01:59.504,0.670,0.730
00:01:59.512,0.624,0.738
00:01:59.52,0.560,0.742
00:01:59.528,0.539,0.741
00:01:59.536,0.534,0.737
00:01:59.544,0.525,0.730
00:01:59.552,0.510,0.721
00:01:59.56,0.490,0.712
00:01:59.568,0.485,0.700
00:01:59.576,0.475,0.688
00:01:59.584,0.470,0.674
00:01:59.592,0.466,0.662
00:01:59.6,0.454,0.648
00:01:59.608,0.454,0.633
00:01:59.616,0.461,0.619
00:01:59.624,0.461,0.603
00:01:59.632,0.454,0.588
00:01:59.64,0.485,0.575
00:01:59.648,0.520,0.562
00:01:59.656,0.510,0.551
00:01:59.664,0.539,0.542
00:01:59.672,0.515,0.532
00:01:59.68,0.480,0.524
